sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.451Z,LP5,1575820,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP6,1575860,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP6,1575870,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.458Z,LP0,1575760,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.458Z,LP2,1575860,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.463Z,LP0,1575760,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.466Z,LP4,1575860,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.466Z,LP7,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.467Z,LP3,1575870,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.467Z,LP6,1575880,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.467Z,LP5,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.473Z,LP0,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP4,1575860,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP4,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP7,1575820,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP7,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP3,1575870,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP3,1575880,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP5,1575820,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP5,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP6,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.476Z,LP6,1575890,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.481Z,LP8,1575870,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.522Z,LP7,1575820,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.522Z,LP4,1575860,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.522Z,LP4,1575860,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.522Z,LP7,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP3,1575870,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP5,1575820,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP5,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP3,1575870,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP6,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.523Z,LP6,1575880,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.530Z,LP2,1575850,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.570Z,LP7,1575820,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.570Z,LP4,1575860,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.570Z,LP5,1575820,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.570Z,LP6,1575870,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.570Z,LP3,1575870,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.571Z,LP8,1575860,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.580Z,LP2,1575860,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.598Z,LP4,1575860,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.598Z,LP4,1575870,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.598Z,LP7,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.598Z,LP7,1575830,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.598Z,LP3,1575870,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.599Z,LP3,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.599Z,LP5,1575820,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.599Z,LP5,1575830,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.599Z,LP6,1575870,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.599Z,LP6,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.600Z,LP7,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.600Z,LP3,1575880,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.600Z,LP4,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.600Z,LP5,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.600Z,LP6,1575890,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.610Z,LP1,1575920,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.609Z,LP8,1575880,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.610Z,LP8,1575880,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.620Z,LP4,1575880,100000000,1576050,100000000
